rep,selCoeff,pnps,pnps_alt,neutmuts,delmuts,m1muts,m2muts,m3muts
87,-0.001,5.0,0.666667,1,5,5,0,0
87,-0.01,4.0,0.6,1,4,0,4,0
87,-0.1,1.0,0.0,2,2,0,0,2
87,-0.001,3.0,0.5,1,3,3,0,0
87,-0.01,n/0,1.0,0,2,0,2,0
87,-0.1,0.6,-0.25,5,3,0,0,3
87,-0.001,0/0,0/0,0,0,0,0,0
87,-0.01,5.0,0.666667,1,5,0,5,0
87,-0.1,1.5,0.2,2,3,0,0,3
87,-0.001,2.5,0.428571,2,5,5,0,0
87,-0.01,1.5,0.2,2,3,0,3,0
87,-0.1,3.0,0.5,1,3,0,0,3
87,-0.001,1.66667,0.25,3,5,5,0,0
87,-0.01,3.0,0.5,1,3,0,3,0
87,-0.1,0.333333,-0.5,3,1,0,0,1
87,-0.001,1.0,0.0,1,1,1,0,0
87,-0.01,1.0,0.0,1,1,0,1,0
87,-0.1,0.5,-0.333333,2,1,0,0,1
87,-0.001,9.0,0.8,1,9,9,0,0
87,-0.01,1.0,0.0,3,3,0,3,0
87,-0.1,2.0,0.333333,1,2,0,0,2
87,-0.001,6.0,0.714286,1,6,6,0,0
87,-0.01,2.0,0.333333,1,2,0,2,0
87,-0.1,0/s,-1.0,3,0,0,0,0
87,-0.001,3.0,0.5,1,3,3,0,0
87,-0.01,1.5,0.2,2,3,0,3,0
87,-0.1,0/0,0/0,0,0,0,0,0
87,-0.001,1.0,0.0,2,2,2,0,0
87,-0.01,n/0,1.0,0,2,0,2,0
87,-0.1,0.666667,-0.2,3,2,0,0,2
87,-0.001,n/0,1.0,0,3,3,0,0
87,-0.01,6.0,0.714286,1,6,0,6,0
87,-0.1,1.75,0.272727,4,7,0,0,7
87,-0.001,1.0,0.0,2,2,2,0,0
87,-0.01,1.0,0.0,2,2,0,2,0
87,-0.1,1.0,0.0,1,1,0,0,1
87,-0.001,4.0,0.6,1,4,4,0,0
87,-0.01,0.25,-0.6,4,1,0,1,0
87,-0.1,0.75,-0.142857,4,3,0,0,3
87,-0.001,2.0,0.333333,2,4,4,0,0
87,-0.01,0.6,-0.25,5,3,0,3,0
87,-0.1,2.0,0.333333,1,2,0,0,2
87,-0.001,1.33333,0.142857,3,4,4,0,0
87,-0.01,0/s,-1.0,2,0,0,0,0
87,-0.1,1.0,0.0,2,2,0,0,2
87,-0.001,2.66667,0.454545,3,8,8,0,0
87,-0.01,0.2,-0.666667,5,1,0,1,0
87,-0.1,0/0,0/0,0,0,0,0,0
87,-0.001,1.0,0.0,3,3,3,0,0
87,-0.01,n/0,1.0,0,2,0,2,0
87,-0.1,2.0,0.333333,1,2,0,0,2
87,-0.001,1.0,0.0,3,3,3,0,0
87,-0.01,n/0,1.0,0,3,0,3,0
87,-0.1,0/s,-1.0,5,0,0,0,0
87,-0.001,7.0,0.75,1,7,7,0,0
87,-0.01,4.0,0.6,1,4,0,4,0
87,-0.1,1.33333,0.142857,3,4,0,0,4
87,-0.001,3.0,0.5,1,3,3,0,0
87,-0.01,0.5,-0.333333,2,1,0,1,0
87,-0.1,n/0,1.0,0,3,0,0,3
87,-0.001,1.0,0.0,3,3,3,0,0
87,-0.01,n/0,1.0,0,2,0,2,0
87,-0.1,0/s,-1.0,1,0,0,0,0
87,-0.001,n/0,1.0,0,3,3,0,0
87,-0.01,2.0,0.333333,2,4,0,4,0
87,-0.1,1.0,0.0,3,3,0,0,3
87,-0.001,1.0,0.0,1,1,1,0,0
87,-0.01,1.0,0.0,4,4,0,4,0
87,-0.1,n/0,1.0,0,3,0,0,3
87,-0.001,n/0,1.0,0,2,2,0,0
87,-0.01,1.33333,0.142857,3,4,0,4,0
87,-0.1,2.0,0.333333,2,4,0,0,4
87,-0.001,7.0,0.75,1,7,7,0,0
87,-0.01,0.125,-0.777778,8,1,0,1,0
87,-0.1,1.0,0.0,1,1,0,0,1
87,-0.001,1.0,0.0,2,2,2,0,0
87,-0.01,3.0,0.5,1,3,0,3,0
87,-0.1,1.0,0.0,2,2,0,0,2
87,-0.001,1.0,0.0,2,2,2,0,0
87,-0.01,0.333333,-0.5,3,1,0,1,0
87,-0.1,0/s,-1.0,4,0,0,0,0
87,-0.001,1.0,0.0,7,7,7,0,0
87,-0.01,1.5,0.2,2,3,0,3,0
87,-0.1,0/s,-1.0,1,0,0,0,0
87,-0.001,0.5,-0.333333,2,1,1,0,0
87,-0.01,0.5,-0.333333,2,1,0,1,0
87,-0.1,2.0,0.333333,1,2,0,0,2
87,-0.001,0.333333,-0.5,6,2,2,0,0
87,-0.01,2.0,0.333333,1,2,0,2,0
87,-0.1,2.0,0.333333,1,2,0,0,2
87,-0.001,2.0,0.333333,1,2,2,0,0
87,-0.01,0.666667,-0.2,3,2,0,2,0
87,-0.1,1.0,0.0,4,4,0,0,4
87,-0.001,0/0,0/0,0,0,0,0,0
87,-0.01,2.0,0.333333,2,4,0,4,0
87,-0.1,n/0,1.0,0,1,0,0,1
87,-0.001,0.333333,-0.5,3,1,1,0,0
87,-0.01,n/0,1.0,0,7,0,7,0
87,-0.1,1.0,0.0,2,2,0,0,2
87,-0.001,1.0,0.0,1,1,1,0,0
87,-0.01,6.0,0.714286,1,6,0,6,0
87,-0.1,0/s,-1.0,1,0,0,0,0
87,-0.001,n/0,1.0,0,4,4,0,0
87,-0.01,0.666667,-0.2,3,2,0,2,0
87,-0.1,1.0,0.0,1,1,0,0,1
87,-0.001,2.5,0.428571,2,5,5,0,0
87,-0.01,0/s,-1.0,1,0,0,0,0
87,-0.1,0/0,0/0,0,0,0,0,0
87,-0.001,0.5,-0.333333,2,1,1,0,0
87,-0.01,1.0,0.0,1,1,0,1,0
87,-0.1,0.666667,-0.2,3,2,0,0,2
87,-0.001,1.33333,0.142857,3,4,4,0,0
87,-0.01,2.0,0.333333,2,4,0,4,0
87,-0.1,n/0,1.0,0,3,0,0,3
87,-0.001,8.0,0.777778,1,8,8,0,0
87,-0.01,5.0,0.666667,1,5,0,5,0
87,-0.1,0.5,-0.333333,2,1,0,0,1
87,-0.001,n/0,1.0,0,2,2,0,0
87,-0.01,1.33333,0.142857,3,4,0,4,0
87,-0.1,0/s,-1.0,2,0,0,0,0
87,-0.001,2.0,0.333333,3,6,6,0,0
87,-0.01,0.8,-0.111111,5,4,0,4,0
87,-0.1,0.5,-0.333333,2,1,0,0,1
87,-0.001,1.0,0.0,3,3,3,0,0
87,-0.01,n/0,1.0,0,2,0,2,0
87,-0.1,n/0,1.0,0,1,0,0,1
87,-0.001,5.0,0.666667,1,5,5,0,0
87,-0.01,5.0,0.666667,1,5,0,5,0
87,-0.1,0.4,-0.428571,5,2,0,0,2
87,-0.001,3.0,0.5,1,3,3,0,0
87,-0.01,1.33333,0.142857,3,4,0,4,0
87,-0.1,0/0,0/0,0,0,0,0,0
87,-0.001,3.0,0.5,1,3,3,0,0
87,-0.01,1.0,0.0,2,2,0,2,0
87,-0.1,0/s,-1.0,2,0,0,0,0
87,-0.001,0.25,-0.6,4,1,1,0,0
87,-0.01,n/0,1.0,0,2,0,2,0
87,-0.1,1.5,0.2,2,3,0,0,3
87,-0.001,3.0,0.5,2,6,6,0,0
87,-0.01,1.5,0.2,2,3,0,3,0
87,-0.1,0/s,-1.0,2,0,0,0,0
87,-0.001,0.8,-0.111111,5,4,4,0,0
87,-0.01,n/0,1.0,0,7,0,7,0
87,-0.1,2.0,0.333333,1,2,0,0,2
87,-0.001,7.0,0.75,1,7,7,0,0
87,-0.01,3.0,0.5,1,3,0,3,0
87,-0.1,n/0,1.0,0,2,0,0,2
87,-0.001,3.0,0.5,1,3,3,0,0
87,-0.01,3.0,0.5,1,3,0,3,0
87,-0.1,1.5,0.2,2,3,0,0,3
87,-0.001,1.66667,0.25,3,5,5,0,0
87,-0.01,n/0,1.0,0,2,0,2,0
87,-0.1,n/0,1.0,0,1,0,0,1
87,-0.001,2.5,0.428571,2,5,5,0,0
87,-0.01,1.0,0.0,3,3,0,3,0
87,-0.1,0/s,-1.0,4,0,0,0,0
87,-0.001,4.0,0.6,1,4,4,0,0
87,-0.01,0.5,-0.333333,2,1,0,1,0
87,-0.1,0.2,-0.666667,5,1,0,0,1
87,-0.001,2.0,0.333333,2,4,4,0,0
87,-0.01,0.5,-0.333333,2,1,0,1,0
87,-0.1,0/0,0/0,0,0,0,0,0
87,-0.001,2.0,0.333333,1,2,2,0,0
87,-0.01,n/0,1.0,0,5,0,5,0
87,-0.1,0/s,-1.0,2,0,0,0,0
87,-0.001,0.666667,-0.2,3,2,2,0,0
87,-0.01,3.0,0.5,1,3,0,3,0
87,-0.1,0/0,0/0,0,0,0,0,0
87,-0.001,4.0,0.6,1,4,4,0,0
87,-0.01,1.5,0.2,2,3,0,3,0
87,-0.1,0.333333,-0.5,3,1,0,0,1
87,-0.001,1.5,0.2,4,6,6,0,0
87,-0.01,n/0,1.0,0,2,0,2,0
87,-0.1,3.0,0.5,1,3,0,0,3
87,-0.001,5.0,0.666667,1,5,5,0,0
87,-0.01,2.0,0.333333,1,2,0,2,0
87,-0.1,1.0,0.0,4,4,0,0,4
87,-0.001,0.6,-0.25,5,3,3,0,0
87,-0.01,2.0,0.333333,1,2,0,2,0
87,-0.1,0/s,-1.0,2,0,0,0,0
87,-0.001,1.0,0.0,3,3,3,0,0
87,-0.01,2.5,0.428571,2,5,0,5,0
87,-0.1,n/0,1.0,0,1,0,0,1
87,-0.001,n/0,1.0,0,2,2,0,0
87,-0.01,n/0,1.0,0,3,0,3,0
87,-0.1,4.0,0.6,1,4,0,0,4
87,-0.001,5.5,0.692308,2,11,11,0,0
87,-0.01,2.0,0.333333,2,4,0,4,0
87,-0.1,0.666667,-0.2,3,2,0,0,2
87,-0.001,4.0,0.6,1,4,4,0,0
87,-0.01,4.0,0.6,1,4,0,4,0
87,-0.1,0/s,-1.0,3,0,0,0,0
87,-0.001,5.0,0.666667,1,5,5,0,0
87,-0.01,0.5,-0.333333,2,1,0,1,0
87,-0.1,0/s,-1.0,1,0,0,0,0
87,-0.001,0/s,-1.0,2,0,0,0,0
87,-0.01,1.75,0.272727,4,7,0,7,0
87,-0.1,1.0,0.0,1,1,0,0,1
87,-0.001,3.0,0.5,1,3,3,0,0
87,-0.01,2.5,0.428571,2,5,0,5,0
87,-0.1,0/0,0/0,0,0,0,0,0
87,-0.001,2.66667,0.454545,3,8,8,0,0
87,-0.01,2.0,0.333333,1,2,0,2,0
87,-0.1,3.0,0.5,1,3,0,0,3
87,-0.001,0.6,-0.25,5,3,3,0,0
87,-0.01,n/0,1.0,0,4,0,4,0
87,-0.1,0/0,0/0,0,0,0,0,0
87,-0.001,1.5,0.2,2,3,3,0,0
87,-0.01,3.0,0.5,2,6,0,6,0
87,-0.1,0/s,-1.0,3,0,0,0,0
87,-0.001,4.0,0.6,2,8,8,0,0
87,-0.01,6.0,0.714286,1,6,0,6,0
87,-0.1,0/0,0/0,0,0,0,0,0
87,-0.001,1.75,0.272727,4,7,7,0,0
87,-0.01,2.0,0.333333,1,2,0,2,0
87,-0.1,0/s,-1.0,1,0,0,0,0
87,-0.001,1.2,0.0909091,5,6,6,0,0
87,-0.01,0/s,-1.0,4,0,0,0,0
87,-0.1,0/s,-1.0,2,0,0,0,0
87,-0.001,2.5,0.428571,2,5,5,0,0
87,-0.01,2.0,0.333333,1,2,0,2,0
87,-0.1,0/s,-1.0,2,0,0,0,0
87,-0.001,9.0,0.8,1,9,9,0,0
87,-0.01,1.5,0.2,2,3,0,3,0
87,-0.1,0/s,-1.0,1,0,0,0,0
87,-0.001,7.0,0.75,1,7,7,0,0
87,-0.01,1.0,0.0,3,3,0,3,0
87,-0.1,0.333333,-0.5,3,1,0,0,1
87,-0.001,n/0,1.0,0,5,5,0,0
87,-0.01,1.0,0.0,3,3,0,3,0
87,-0.1,0.25,-0.6,4,1,0,0,1
87,-0.001,n/0,1.0,0,7,7,0,0
87,-0.01,0.333333,-0.5,3,1,0,1,0
87,-0.1,0/0,0/0,0,0,0,0,0
87,-0.001,1.0,0.0,4,4,4,0,0
87,-0.01,0.5,-0.333333,2,1,0,1,0
87,-0.1,n/0,1.0,0,2,0,0,2
87,-0.001,0.8,-0.111111,5,4,4,0,0
87,-0.01,1.0,0.0,1,1,0,1,0
87,-0.1,0/s,-1.0,1,0,0,0,0
87,-0.001,1.8,0.285714,5,9,9,0,0
87,-0.01,n/0,1.0,0,1,0,1,0
87,-0.1,1.0,0.0,1,1,0,0,1
87,-0.001,1.0,0.0,1,1,1,0,0
87,-0.01,n/0,1.0,0,3,0,3,0
87,-0.1,1.0,0.0,1,1,0,0,1
87,-0.001,n/0,1.0,0,3,3,0,0
87,-0.01,3.0,0.5,1,3,0,3,0
87,-0.1,2.0,0.333333,1,2,0,0,2
87,-0.001,0.8,-0.111111,5,4,4,0,0
87,-0.01,4.0,0.6,1,4,0,4,0
87,-0.1,0/s,-1.0,1,0,0,0,0
87,-0.001,2.0,0.333333,2,4,4,0,0
87,-0.01,0.2,-0.666667,5,1,0,1,0
87,-0.1,1.0,0.0,1,1,0,0,1
87,-0.001,1.75,0.272727,4,7,7,0,0
87,-0.01,1.0,0.0,3,3,0,3,0
87,-0.1,1.0,0.0,1,1,0,0,1
87,-0.001,n/0,1.0,0,6,6,0,0
87,-0.01,0/s,-1.0,2,0,0,0,0
87,-0.1,n/0,1.0,0,3,0,0,3
87,-0.001,5.0,0.666667,1,5,5,0,0
87,-0.01,1.66667,0.25,3,5,0,5,0
87,-0.1,4.0,0.6,1,4,0,0,4
87,-0.001,1.0,0.0,2,2,2,0,0
87,-0.01,2.0,0.333333,3,6,0,6,0
87,-0.1,0.2,-0.666667,5,1,0,0,1
87,-0.001,1.33333,0.142857,3,4,4,0,0
87,-0.01,1.0,0.0,3,3,0,3,0
87,-0.1,0.5,-0.333333,2,1,0,0,1
87,-0.001,3.0,0.5,2,6,6,0,0
87,-0.01,0/s,-1.0,2,0,0,0,0
87,-0.1,3.0,0.5,1,3,0,0,3
88,-0.001,11.0,0.833333,1,11,11,0,0
88,-0.01,1.0,0.0,1,1,0,1,0
88,-0.1,1.0,0.0,2,2,0,0,2
88,-0.001,7.0,0.75,1,7,7,0,0
88,-0.01,3.0,0.5,1,3,0,3,0
88,-0.1,3.0,0.5,1,3,0,0,3
88,-0.001,3.0,0.5,1,3,3,0,0
88,-0.01,4.0,0.6,1,4,0,4,0
88,-0.1,0.75,-0.142857,4,3,0,0,3
88,-0.001,1.66667,0.25,3,5,5,0,0
88,-0.01,0/s,-1.0,1,0,0,0,0
88,-0.1,0.75,-0.142857,4,3,0,0,3
88,-0.001,3.5,0.555556,2,7,7,0,0
88,-0.01,1.0,0.0,2,2,0,2,0
88,-0.1,0/s,-1.0,2,0,0,0,0
88,-0.001,1.0,0.0,1,1,1,0,0
88,-0.01,n/0,1.0,0,2,0,2,0
88,-0.1,n/0,1.0,0,1,0,0,1
88,-0.001,8.0,0.777778,1,8,8,0,0
88,-0.01,1.0,0.0,3,3,0,3,0
88,-0.1,1.5,0.2,2,3,0,0,3
88,-0.001,1.33333,0.142857,3,4,4,0,0
88,-0.01,0.333333,-0.5,3,1,0,1,0
88,-0.1,1.5,0.2,2,3,0,0,3
88,-0.001,6.0,0.714286,1,6,6,0,0
88,-0.01,1.25,0.111111,4,5,0,5,0
88,-0.1,0.5,-0.333333,2,1,0,0,1
88,-0.001,2.0,0.333333,3,6,6,0,0
88,-0.01,n/0,1.0,0,4,0,4,0
88,-0.1,1.5,0.2,2,3,0,0,3
88,-0.001,n/0,1.0,0,4,4,0,0
88,-0.01,n/0,1.0,0,2,0,2,0
88,-0.1,0.75,-0.142857,4,3,0,0,3
88,-0.001,0/0,0/0,0,0,0,0,0
88,-0.01,6.0,0.714286,1,6,0,6,0
88,-0.1,0.5,-0.333333,2,1,0,0,1
88,-0.001,3.0,0.5,2,6,6,0,0
88,-0.01,1.0,0.0,3,3,0,3,0
88,-0.1,1.0,0.0,1,1,0,0,1
88,-0.001,1.66667,0.25,3,5,5,0,0
88,-0.01,2.0,0.333333,2,4,0,4,0
88,-0.1,0/s,-1.0,3,0,0,0,0
88,-0.001,1.0,0.0,2,2,2,0,0
88,-0.01,2.0,0.333333,1,2,0,2,0
88,-0.1,0/s,-1.0,2,0,0,0,0
88,-0.001,8.0,0.777778,1,8,8,0,0
88,-0.01,1.5,0.2,2,3,0,3,0
88,-0.1,1.0,0.0,2,2,0,0,2
88,-0.001,6.0,0.714286,1,6,6,0,0
88,-0.01,n/0,1.0,0,2,0,2,0
88,-0.1,0/s,-1.0,3,0,0,0,0
88,-0.001,n/0,1.0,0,6,6,0,0
88,-0.01,0.666667,-0.2,3,2,0,2,0
88,-0.1,0/s,-1.0,1,0,0,0,0
88,-0.001,0.25,-0.6,4,1,1,0,0
88,-0.01,n/0,1.0,0,2,0,2,0
88,-0.1,0.5,-0.333333,2,1,0,0,1
88,-0.001,n/0,1.0,0,4,4,0,0
88,-0.01,2.0,0.333333,2,4,0,4,0
88,-0.1,0.4,-0.428571,5,2,0,0,2
88,-0.001,0.5,-0.333333,2,1,1,0,0
88,-0.01,1.0,0.0,2,2,0,2,0
88,-0.1,0/s,-1.0,2,0,0,0,0
88,-0.001,5.0,0.666667,1,5,5,0,0
88,-0.01,0.25,-0.6,4,1,0,1,0
88,-0.1,0.75,-0.142857,4,3,0,0,3
88,-0.001,7.0,0.75,1,7,7,0,0
88,-0.01,0.75,-0.142857,4,3,0,3,0
88,-0.1,2.0,0.333333,1,2,0,0,2
88,-0.001,1.0,0.0,4,4,4,0,0
88,-0.01,0.5,-0.333333,2,1,0,1,0
88,-0.1,3.0,0.5,1,3,0,0,3
88,-0.001,1.75,0.272727,4,7,7,0,0
88,-0.01,0.25,-0.6,4,1,0,1,0
88,-0.1,n/0,1.0,0,1,0,0,1
88,-0.001,1.0,0.0,3,3,3,0,0
88,-0.01,n/0,1.0,0,3,0,3,0
88,-0.1,n/0,1.0,0,1,0,0,1
88,-0.001,1.0,0.0,3,3,3,0,0
88,-0.01,n/0,1.0,0,2,0,2,0
88,-0.1,0/s,-1.0,5,0,0,0,0
88,-0.001,5.0,0.666667,1,5,5,0,0
88,-0.01,3.0,0.5,1,3,0,3,0
88,-0.1,0.666667,-0.2,3,2,0,0,2
88,-0.001,3.0,0.5,1,3,3,0,0
88,-0.01,0/s,-1.0,2,0,0,0,0
88,-0.1,2.0,0.333333,1,2,0,0,2
88,-0.001,2.0,0.333333,2,4,4,0,0
88,-0.01,n/0,1.0,0,2,0,2,0
88,-0.1,0/0,0/0,0,0,0,0,0
88,-0.001,n/0,1.0,0,2,2,0,0
88,-0.01,1.5,0.2,2,3,0,3,0
88,-0.1,1.66667,0.25,3,5,0,0,5
88,-0.001,0.5,-0.333333,2,1,1,0,0
88,-0.01,0.8,-0.111111,5,4,0,4,0
88,-0.1,1.0,0.0,1,1,0,0,1
88,-0.001,n/0,1.0,0,3,3,0,0
88,-0.01,0.25,-0.6,4,1,0,1,0
88,-0.1,1.0,0.0,2,2,0,0,2
88,-0.001,7.0,0.75,1,7,7,0,0
88,-0.01,0.222222,-0.636364,9,2,0,2,0
88,-0.1,1.0,0.0,1,1,0,0,1
88,-0.001,1.0,0.0,1,1,1,0,0
88,-0.01,n/0,1.0,0,2,0,2,0
88,-0.1,1.0,0.0,2,2,0,0,2
88,-0.001,3.0,0.5,1,3,3,0,0
88,-0.01,0.666667,-0.2,3,2,0,2,0
88,-0.1,0.333333,-0.5,3,1,0,0,1
88,-0.001,1.16667,0.0769231,6,7,7,0,0
88,-0.01,2.0,0.333333,1,2,0,2,0
88,-0.1,0/s,-1.0,1,0,0,0,0
88,-0.001,0.5,-0.333333,2,1,1,0,0
88,-0.01,0/s,-1.0,2,0,0,0,0
88,-0.1,1.0,0.0,1,1,0,0,1
88,-0.001,0.4,-0.428571,5,2,2,0,0
88,-0.01,2.0,0.333333,1,2,0,2,0
88,-0.1,2.0,0.333333,1,2,0,0,2
88,-0.001,2.0,0.333333,1,2,2,0,0
88,-0.01,0.666667,-0.2,3,2,0,2,0
88,-0.1,0.333333,-0.5,3,1,0,0,1
88,-0.001,0/s,-1.0,1,0,0,0,0
88,-0.01,3.0,0.5,2,6,0,6,0
88,-0.1,1.0,0.0,1,1,0,0,1
88,-0.001,1.0,0.0,2,2,2,0,0
88,-0.01,8.0,0.777778,1,8,0,8,0
88,-0.1,3.0,0.5,1,3,0,0,3
88,-0.001,2.0,0.333333,1,2,2,0,0
88,-0.01,7.0,0.75,1,7,0,7,0
88,-0.1,0/0,0/0,0,0,0,0,0
88,-0.001,n/0,1.0,0,4,4,0,0
88,-0.01,0.666667,-0.2,3,2,0,2,0
88,-0.1,1.0,0.0,1,1,0,0,1
88,-0.001,3.0,0.5,2,6,6,0,0
88,-0.01,0/s,-1.0,1,0,0,0,0
88,-0.1,n/0,1.0,0,1,0,0,1
88,-0.001,1.0,0.0,2,2,2,0,0
88,-0.01,1.0,0.0,1,1,0,1,0
88,-0.1,1.33333,0.142857,3,4,0,0,4
88,-0.001,0.666667,-0.2,3,2,2,0,0
88,-0.01,3.0,0.5,2,6,0,6,0
88,-0.1,n/0,1.0,0,4,0,0,4
88,-0.001,4.0,0.6,2,8,8,0,0
88,-0.01,6.0,0.714286,1,6,0,6,0
88,-0.1,1.0,0.0,2,2,0,0,2
88,-0.001,3.0,0.5,1,3,3,0,0
88,-0.01,3.0,0.5,1,3,0,3,0
88,-0.1,1.0,0.0,2,2,0,0,2
88,-0.001,2.5,0.428571,2,5,5,0,0
88,-0.01,0.6,-0.25,5,3,0,3,0
88,-0.1,3.0,0.5,1,3,0,0,3
88,-0.001,0.666667,-0.2,3,2,2,0,0
88,-0.01,2.0,0.333333,1,2,0,2,0
88,-0.1,1.0,0.0,1,1,0,0,1
88,-0.001,5.0,0.666667,1,5,5,0,0
88,-0.01,5.0,0.666667,1,5,0,5,0
88,-0.1,0.5,-0.333333,6,3,0,0,3
88,-0.001,3.0,0.5,1,3,3,0,0
88,-0.01,1.0,0.0,4,4,0,4,0
88,-0.1,0/0,0/0,0,0,0,0,0
88,-0.001,2.0,0.333333,2,4,4,0,0
88,-0.01,1.0,0.0,1,1,0,1,0
88,-0.1,0/s,-1.0,2,0,0,0,0
88,-0.001,0.666667,-0.2,3,2,2,0,0
88,-0.01,n/0,1.0,0,2,0,2,0
88,-0.1,n/0,1.0,0,2,0,0,2
88,-0.001,3.0,0.5,2,6,6,0,0
88,-0.01,0.666667,-0.2,3,2,0,2,0
88,-0.1,n/0,1.0,0,1,0,0,1
88,-0.001,1.0,0.0,4,4,4,0,0
88,-0.01,n/0,1.0,0,6,0,6,0
88,-0.1,1.0,0.0,1,1,0,0,1
88,-0.001,n/0,1.0,0,7,7,0,0
88,-0.01,2.0,0.333333,2,4,0,4,0
88,-0.1,n/0,1.0,0,4,0,0,4
88,-0.001,3.0,0.5,1,3,3,0,0
88,-0.01,n/0,1.0,0,3,0,3,0
88,-0.1,2.0,0.333333,1,2,0,0,2
88,-0.001,1.33333,0.142857,3,4,4,0,0
88,-0.01,n/0,1.0,0,1,0,1,0
88,-0.1,2.0,0.333333,1,2,0,0,2
88,-0.001,1.66667,0.25,3,5,5,0,0
88,-0.01,3.0,0.5,1,3,0,3,0
88,-0.1,0/s,-1.0,5,0,0,0,0
88,-0.001,4.0,0.6,1,4,4,0,0
88,-0.01,0.666667,-0.2,3,2,0,2,0
88,-0.1,0/s,-1.0,5,0,0,0,0
88,-0.001,1.0,0.0,4,4,4,0,0
88,-0.01,0.5,-0.333333,2,1,0,1,0
88,-0.1,0/0,0/0,0,0,0,0,0
88,-0.001,1.0,0.0,1,1,1,0,0
88,-0.01,3.0,0.5,1,3,0,3,0
88,-0.1,0/s,-1.0,2,0,0,0,0
88,-0.001,0.8,-0.111111,5,4,4,0,0
88,-0.01,2.0,0.333333,2,4,0,4,0
88,-0.1,0/0,0/0,0,0,0,0,0
88,-0.001,3.0,0.5,1,3,3,0,0
88,-0.01,1.33333,0.142857,3,4,0,4,0
88,-0.1,0.666667,-0.2,3,2,0,0,2
88,-0.001,1.25,0.111111,4,5,5,0,0
88,-0.01,n/0,1.0,0,2,0,2,0
88,-0.1,n/0,1.0,0,2,0,0,2
88,-0.001,n/0,1.0,0,4,4,0,0
88,-0.01,3.0,0.5,1,3,0,3,0
88,-0.1,0.75,-0.142857,4,3,0,0,3
88,-0.001,0.8,-0.111111,5,4,4,0,0
88,-0.01,1.0,0.0,2,2,0,2,0
88,-0.1,0/s,-1.0,3,0,0,0,0
88,-0.001,0.75,-0.142857,4,3,3,0,0
88,-0.01,1.66667,0.25,3,5,0,5,0
88,-0.1,0/0,0/0,0,0,0,0,0
88,-0.001,1.5,0.2,2,3,3,0,0
88,-0.01,0/0,0/0,0,0,0,0,0
88,-0.1,2.0,0.333333,1,2,0,0,2
88,-0.001,5.0,0.666667,2,10,10,0,0
88,-0.01,1.5,0.2,2,3,0,3,0
88,-0.1,0.666667,-0.2,3,2,0,0,2
88,-0.001,5.0,0.666667,1,5,5,0,0
88,-0.01,5.0,0.666667,1,5,0,5,0
88,-0.1,0/s,-1.0,2,0,0,0,0
88,-0.001,5.0,0.666667,1,5,5,0,0
88,-0.01,0/s,-1.0,2,0,0,0,0
88,-0.1,1.0,0.0,1,1,0,0,1
88,-0.001,0.5,-0.333333,2,1,1,0,0
88,-0.01,2.0,0.333333,3,6,0,6,0
88,-0.1,1.0,0.0,1,1,0,0,1
88,-0.001,3.0,0.5,1,3,3,0,0
88,-0.01,4.0,0.6,1,4,0,4,0
88,-0.1,0/0,0/0,0,0,0,0,0
88,-0.001,2.33333,0.4,3,7,7,0,0
88,-0.01,n/0,1.0,0,2,0,2,0
88,-0.1,3.0,0.5,1,3,0,0,3
88,-0.001,0.75,-0.142857,4,3,3,0,0
88,-0.01,n/0,1.0,0,4,0,4,0
88,-0.1,0/0,0/0,0,0,0,0,0
88,-0.001,1.0,0.0,2,2,2,0,0
88,-0.01,2.5,0.428571,2,5,0,5,0
88,-0.1,0/s,-1.0,3,0,0,0,0
88,-0.001,4.5,0.636364,2,9,9,0,0
88,-0.01,7.0,0.75,1,7,0,7,0
88,-0.1,0/0,0/0,0,0,0,0,0
88,-0.001,1.25,0.111111,4,5,5,0,0
88,-0.01,3.0,0.5,1,3,0,3,0
88,-0.1,1.0,0.0,1,1,0,0,1
88,-0.001,1.0,0.0,5,5,5,0,0
88,-0.01,1.0,0.0,4,4,0,4,0
88,-0.1,0/s,-1.0,2,0,0,0,0
88,-0.001,1.5,0.2,2,3,3,0,0
88,-0.01,n/0,1.0,0,2,0,2,0
88,-0.1,0/s,-1.0,2,0,0,0,0
88,-0.001,3.5,0.555556,2,7,7,0,0
88,-0.01,1.5,0.2,2,3,0,3,0
88,-0.1,2.0,0.333333,1,2,0,0,2
88,-0.001,6.0,0.714286,1,6,6,0,0
88,-0.01,1.33333,0.142857,3,4,0,4,0
88,-0.1,0.5,-0.333333,2,1,0,0,1
88,-0.001,4.0,0.6,1,4,4,0,0
88,-0.01,1.0,0.0,3,3,0,3,0
88,-0.1,0.2,-0.666667,5,1,0,0,1
88,-0.001,n/0,1.0,0,7,7,0,0
88,-0.01,0.2,-0.666667,5,1,0,1,0
88,-0.1,0/0,0/0,0,0,0,0,0
88,-0.001,1.0,0.0,3,3,3,0,0
88,-0.01,4.0,0.6,1,4,0,4,0
88,-0.1,n/0,1.0,0,1,0,0,1
88,-0.001,3.0,0.5,1,3,3,0,0
88,-0.01,0.5,-0.333333,2,1,0,1,0
88,-0.1,0/s,-1.0,1,0,0,0,0
88,-0.001,2.5,0.428571,4,10,10,0,0
88,-0.01,n/0,1.0,0,1,0,1,0
88,-0.1,1.0,0.0,1,1,0,0,1
